kepid,plnt num,kname,dispos,GB_vif,RF_vif,LR,DT,eb,_merge
4857213,1,K02120.01,CAND,-,-,0.706,0.74,No,left_only
4548098,1,K04157.01,CAND,-,-,0.705,0.831,No,left_only
3761319,1,K06104.01,CAND,-,-,0.704,0.689,No,left_only
5716932,1,K02358.01,CAND,-,-,0.703,0.778,No,left_only
10252275,2,K03130.02,CAND,-,-,0.703,0.646,No,left_only
12105051,1,K00141.01,CAND,-,-,0.703,0.762,No,left_only
7941200,1,K00092.01,CAND,-,-,0.702,-,No,left_only
11754430,2,K03403.02,CAND,-,-,0.7,0.699,No,left_only
10337517,1,K01165.01,CAND,-,0.516,0.697,0.88,No,left_only
2446113,1,K00379.01,FP,-,-,0.697,0.927,No,left_only
12156347,1,K02588.01,CAND,-,-,0.696,0.718,No,left_only
5542466,1,K01590.01,CAND,-,-,0.695,-,No,left_only
10118816,1,K01085.01,CAND,-,-,0.693,0.826,No,left_only
7287683,1,K01622.01,CAND,-,-,0.692,0.715,No,left_only
11752906,2,K00253.02,CAND,-,-,0.691,0.712,No,left_only
8257205,2,K01986.02,CAND,-,-,0.691,0.727,No,left_only
12121570,1,K02290.01,CAND,-,-,0.691,0.685,No,left_only
10055126,3,K01608.03,CAND,-,-,0.689,0.534,No,left_only
7294743,1,K02516.01,CAND,-,-,0.688,0.874,No,left_only
5531953,2,K01681.02,FP,-,-,0.688,0.833,No,left_only
10387742,1,K02583.01,CAND,-,-,0.688,0.9,No,left_only
11599264,2,-,-,-,-,0.688,-,No,both
7522911,1,K01705.01,CAND,-,-,0.688,0.707,No,left_only
6956216,2,-,-,-,-,0.687,-,No,both
12061238,1,K01502.01,FP,-,-,0.687,-,No,left_only
10514430,3,-,-,-,0.385,0.685,0.726,No,left_only
6975129,3,K01628.03,FP,-,-,0.685,0.586,No,left_only
9700449,1,K04120.01,CAND,-,-,0.684,-,No,left_only
9489524,4,K02029.04,CAND,-,-,0.683,0.489,No,left_only
10363115,1,K03908.01,CAND,-,-,0.682,0.781,No,left_only
11138155,1,K00760.01,CAND,-,-,0.681,0.656,No,both
8494542,1,K02204.01,CAND,-,-,0.679,0.679,No,left_only
10386922,1,K00289.01,CAND,-,-,0.679,0.631,No,left_only
11771430,1,K02582.01,CAND,-,-,0.679,0.689,No,left_only
11442465,2,-,-,-,-,0.677,-,No,both
11462341,1,K02124.01,CAND,-,-,0.677,0.686,No,left_only
9692128,1,K02769.01,FP,-,-,0.677,-,No,left_only
8018547,1,K00902.01,CAND,-,-,0.676,0.742,No,left_only
6543893,2,K01627.02,CAND,-,-,0.674,0.754,No,left_only
6609270,1,K03090.01,CAND,-,-,0.674,0.727,No,left_only
11192235,1,K02329.01,CAND,-,0.888,0.673,0.599,No,left_only
9489524,3,K02029.03,CAND,-,-,0.673,-,No,left_only
5283542,1,K00827.01,FP,-,-,0.673,-,No,left_only
11922778,1,K03408.01,CAND,-,-,0.671,-,No,left_only
3229150,1,K02150.01,CAND,-,-,0.671,-,No,left_only
8261920,2,K02174.02,CAND,-,-,0.668,0.549,No,left_only
9898447,1,K02803.01,CAND,-,-,0.668,0.832,No,left_only
8984831,4,-,-,-,-,0.667,-,No,left_only
6721523,5,-,-,-,-,0.667,0.462,No,left_only
5480766,5,-,-,-,-,0.666,-,No,left_only
10074466,1,K01917.01,CAND,-,-,0.663,0.606,No,left_only
9700145,4,-,-,-,-,0.661,0.474,No,left_only
5629353,3,K06132.03,CAND,-,-,0.66,0.791,No,both
8162789,1,K00521.01,CAND,-,0.457,0.659,-,No,left_only
4547480,2,-,-,-,-,0.659,0.53,No,both
6862721,1,K01982.01,CAND,-,-,0.657,0.746,No,left_only
8630788,3,K01258.03,CAND,-,-,0.657,0.494,No,left_only
7202957,1,K02687.01,CAND,-,-,0.657,-,No,left_only
11818607,1,K02467.01,CAND,-,-,0.656,0.567,No,left_only
10158418,1,K01784.01,CAND,-,-,0.655,0.699,No,both
12061969,2,K02061.02,CAND,-,-,0.654,-,No,left_only
9528430,2,-,-,-,-,0.654,-,No,both
9307509,1,K02096.01,CAND,-,-,0.652,0.857,No,left_only
3561464,3,K03398.03,CAND,-,-,0.652,0.494,No,left_only
