kepid,plnt num,kname,dispos,GB_vif,DT
6049190,1,K01685.01,CAND,-,0.564
5211199,2,K02158.02,CAND,-,0.563
9957627,1,K00592.01,CAND,-,0.563
10744342,4,-,-,-,0.558
10141900,2,K01082.02,CAND,-,0.558
5621333,2,K03341.02,CAND,-,0.557
5906694,1,K04069.01,CAND,-,0.556
10597693,1,K02958.01,CAND,-,0.555
9936080,1,K04431.01,CAND,-,0.554
7918478,1,K04209.01,CAND,-,0.553
3559860,1,K03440.01,FP,-,0.551
9836563,1,K04421.01,CAND,-,0.551
10587105,3,K00339.03,CAND,-,0.55
8056665,2,K00089.02,CAND,-,0.55
8261920,2,K02174.02,CAND,-,0.549
9020114,1,K03088.01,CAND,-,0.549
5428657,1,K06130.01,CAND,-,0.549
8261920,3,K02174.03,CAND,-,0.549
10874215,1,K02305.01,CAND,-,0.548
8758204,1,K02841.01,CAND,-,0.547
9086251,1,K02367.01,CAND,-,0.547
10265898,2,K00732.02,CAND,-,0.546
9030537,1,K01892.01,CAND,-,0.545
8827575,1,K03052.01,CAND,-,0.544
11705004,1,K02199.01,CAND,-,0.544
11125797,1,K03371.01,CAND,-,0.543
7512982,2,K01480.02,CAND,-,0.543
6131236,1,K01051.01,CAND,-,0.542
9472000,1,K02082.01,CAND,-,0.541
12257999,1,K02577.01,CAND,-,0.539
8804283,2,K01276.02,CAND,-,0.537
4172805,1,K04427.01,CAND,-,0.536
5106313,1,K02878.01,CAND,-,0.536
12061969,1,K02061.01,FP,-,0.536
11076400,1,K02759.01,CAND,-,0.535
8390826,1,-,-,-,0.535
10055126,3,K01608.03,CAND,-,0.534
7939330,1,K01581.01,CAND,-,0.532
5450814,2,-,-,-,0.531
4547480,2,-,-,-,0.53
4860678,2,K01602.02,CAND,-,0.53
5476864,2,-,-,-,0.529
9552608,2,-,-,-,0.527
7107802,2,K02420.02,CAND,-,0.527
9002538,1,K03196.01,CAND,-,0.527
5897826,3,-,-,-,0.527
5724810,1,-,-,-,0.526
5544450,2,K03226.02,CAND,-,0.526
4466677,2,K01338.02,CAND,-,0.526
6945786,1,K03136.01,CAND,-,0.526
9716028,1,K04273.01,CAND,-,0.525
6061773,1,K02001.01,CAND,-,0.525
7678434,2,K00892.02,CAND,-,0.522
11599038,2,K01437.02,FP,-,0.521
8624520,1,K01816.01,CAND,-,0.521
5103942,2,-,-,-,0.521
2019477,1,K06093.01,FP,-,0.52
4061149,1,K01201.01,CAND,-,0.52
5436338,1,K02835.01,CAND,-,0.519
6955650,1,-,-,-,0.518
8396405,1,K01733.01,CAND,-,0.517
5004909,1,K03421.01,FP,-,0.516
4060229,1,K04570.01,CAND,-,0.515
3239671,1,K02066.01,CAND,-,0.515
7041634,2,-,-,-,0.514
8110767,1,K02504.01,CAND,-,0.514
9288237,1,K03114.01,CAND,-,0.514
9896018,3,K02579.03,CAND,-,0.513
6026737,1,K02949.01,CAND,-,0.511
6153407,1,K03179.01,CAND,-,0.508
8838950,1,K02421.01,CAND,-,0.507
11869052,1,K00120.01,CAND,-,0.506
8963721,1,K02233.01,FP,-,0.506
5351250,5,K00408.05,FP,-,0.503
8261920,1,K02174.01,CAND,-,0.503
5542466,2,K01590.02,CAND,-,0.502
11517719,2,-,-,-,0.501
9650989,1,K03095.01,CAND,-,0.501
2986833,1,K04875.01,CAND,-,0.501
10471621,1,K02554.01,CAND,-,0.499
10666592,2,-,-,-,0.498
4385148,2,K02942.02,CAND,-,0.498
4547603,1,K02855.01,CAND,-,0.497
5906426,1,K02377.01,CAND,-,0.496
7288444,1,K03482.01,CAND,-,0.496
10717241,2,K00430.02,CAND,-,0.495
7377033,1,K00882.01,FP,-,0.494
8630788,3,K01258.03,CAND,-,0.494
3561464,3,K03398.03,CAND,-,0.494
6792908,1,K04341.01,CAND,-,0.494
6268648,2,K01613.02,CAND,-,0.494
