kepid,tce_plnt_num,kepoi_name,koi_disposition,DT_vif
6636320,1,K02989.01,CANDIDATE,0.5282851569427203
3561464,2,K03398.02,CANDIDATE,0.5282851569427203
5563300,1,K03309.01,CANDIDATE,0.5282851569427203
10016874,1,K00426.01,CANDIDATE,0.5282851569427203
9514372,1,K04242.01,CANDIDATE,0.5282851569427203
9472000,1,K02082.01,CANDIDATE,0.5282851569427203
8259713,1,K02935.01,CANDIDATE,0.5282851569427203
10094670,1,K01984.01,CANDIDATE,0.5282851569427203
7941200,1,K00092.01,CANDIDATE,0.5282851569427203
6128141,2,,,0.5271041901444525
11071200,1,K02696.01,CANDIDATE,0.527027027027027
4862625,2,,,0.527027027027027
7531677,1,K02601.01,FALSE POSITIVE,0.5267911376752282
10287248,2,,,0.5227272727272727
8684730,1,K00319.01,CANDIDATE,0.5227272727272727
8949925,2,K02972.02,FALSE POSITIVE,0.5218089313328533
10005758,3,,,0.5218089313328533
8158127,3,K01015.03,CANDIDATE,0.5162308222407602
12116489,2,,,0.5162308222407602
5710069,1,K03396.01,CANDIDATE,0.5162308222407602
7673192,5,K02722.05,CANDIDATE,0.5162308222407602
6543893,3,K01627.03,CANDIDATE,0.5162308222407602
6879183,1,K05333.01,CANDIDATE,0.5162308222407602
11520114,1,K05909.01,CANDIDATE,0.5162308222407602
10813078,1,K05831.01,CANDIDATE,0.5162308222407602
10397751,5,K02859.05,CANDIDATE,0.5162308222407602
11153476,1,K04601.01,CANDIDATE,0.5162308222407602
2857607,1,K04659.01,CANDIDATE,0.5162308222407602
12647577,1,K04530.01,CANDIDATE,0.5162308222407602
4645174,2,K03437.02,CANDIDATE,0.5162308222407602
11284772,2,K04622.02,CANDIDATE,0.5162308222407602
9457948,1,K04694.01,CANDIDATE,0.5162308222407602
7891294,1,K04699.01,CANDIDATE,0.5162308222407602
5531953,3,K01681.03,CANDIDATE,0.5162308222407602
3561464,3,K03398.03,CANDIDATE,0.5162308222407602
4947556,1,K03936.01,FALSE POSITIVE,0.5140334691212581
