"koi_disposition","kepid","kepoi_name","tce_insol","tce_mesmedian","tce_fwm_pdeco","tce_depth_sn","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"FALSE POSITIVE",5730389,"K01956.01",488.53,-0.4881,0.02901,26.2567621058187,304.088050314465,24.946037735849
"CANDIDATE",10028352,"K01957.01",9700.02,0.08702,0.0001496,51.7700166310287,4.19047619047619,1.23622047244095
"FALSE POSITIVE",10028352,"K01957.02",7105.12,-1.476,3.076e-05,1.99574694311536,1.12673992673993,0.774460641399417
"CANDIDATE",9836149,"K01958.01",56.57,-0.005227,0.0004162,31.8315156073712,1.4401384083045,1.13454545454545
"CANDIDATE",4813563,"K01959.01",7.73,0.006381,-0.000423,27.7190721649485,-1.22254335260116,0.651376068376068
"CANDIDATE",6949061,"K01960.01",260.24,-0.1133,-9.98e-05,35.7346113524038,-1.21116504854369,1.36056338028169
"CANDIDATE",6949061,"K01960.02",73.19,-0.02412,-1.028e-05,13.6275862068966,-0.0615568862275449,0.869094202898551
"CANDIDATE",7269493,"K01961.01",611.31,-0.196,-2.54e-05,35.7861454440931,-0.783950617283951,1.25957219251337
"CANDIDATE",5513648,"K01962.01",53.96,0.008071,5.687e-05,27.5008594018563,0.842518518518519,3.0850406504065
"CANDIDATE",10917681,"K01963.01",89.21,-0.02162,-8.446e-05,8.83369759586727,-0.541410256410256,0.858085106382979
"CANDIDATE",7887791,"K01964.01",621.42,-0.003892,4.713e-06,33.5475409836066,0.349111111111111,2.2778901734104
"CANDIDATE",11657891,"K01965.01",518.8,-0.1366,3.096e-05,24.5196506550218,0.326238145416228,2.09414012738853
"FALSE POSITIVE",9973855,"K01966.01",509.26,-0.09941,-0.003344,28.3206106870229,-111.839464882943,125.410480349345
"CANDIDATE",6205897,"K01967.01",92.19,-0.06481,0.0001112,29.7798877859301,1.09019607843137,1.97333333333333
"CANDIDATE",7948784,"K01968.01",186.6,-0.1038,0.0004845,30.8402432283029,2.32932692307692,1.23426229508197
