"koi_disposition","kepid","kepoi_name","tce_insol","tce_mesmedian","tce_fwm_prao","tce_fwm_pdeco_sn","tce_dicco_msky_sn"
"CANDIDATE",9093086,"K06191.02",124.06,-0.05871,-3.704e-05,1.44025157232704,2.83711151736746
"FALSE POSITIVE",9101400,"K06192.01",9139.61,-0.3344,0.001861,-0.000867816091954023,0.0578350824587706
"FALSE POSITIVE",9119652,"K06193.01",5667.33,0.1844,0,0,1.5544227886057
"CANDIDATE",9145861,"K06194.01",325.41,-0.03997,0.000105,0.220070257611241,1.83726993865031
"FALSE POSITIVE",9153823,"K06195.01",289.4,-0.2053,-1.289e-05,2.45,0.598488700564972
"FALSE POSITIVE",9282687,"K06196.01",5573.3,-0.4392,0,0.00395443645083933,0.176814159292035
"FALSE POSITIVE",9291629,"K06198.01",7.75,0.1602,-0.0003289,0.0055,0.630782608695652
"FALSE POSITIVE",9343862,"K06201.01",25289.99,-53.43,0.02502,0,0.154296407185629
"FALSE POSITIVE",9394605,"K06203.01",3084.89,-0.9278,0.001318,-5.19333333333333,10.0120234604106
"FALSE POSITIVE",9471755,"K06204.01",12081.18,-0.5301,-0.0001524,-6.34375,14.6657534246575
"FALSE POSITIVE",9479460,"K06205.01",23310.05,-6.936,0.3132,0,1.05650297619048
"FALSE POSITIVE",9549472,"K06206.01",73.81,-0.1788,-0.006704,-5.71201157742402,4.03608
"FALSE POSITIVE",9576197,"K06207.01",76.9,0.4018,-0.0002868,0.034265625,0.270843195266272
"FALSE POSITIVE",9579860,"K06208.01",0,-0.03944,0.0001613,-366.919191919192,140.640298507463
"CANDIDATE",9655711,"K06209.01",89.91,-0.1238,-0.000734,0.575187165775401,0.454393530997305
"CANDIDATE",9655711,"K06209.02",174.58,-0.02423,-0.000923,1.84340320591862,0.585036231884058
"FALSE POSITIVE",9767392,"K06211.01",4708.99,-0.03829,0.0003792,0,0.0669220389805097
"FALSE POSITIVE",9774400,"K06212.01",112.66,1.011,0.05297,-47.8125,48.4669603524229
"FALSE POSITIVE",9839081,"K06213.01",667.18,-0.1021,-0.0005003,0.194662576687117,0.144011976047904
"CANDIDATE",10200627,"K06217.01",1660.67,-0.2714,-0.0001025,0.300661157024793,0.494650571791614
"FALSE POSITIVE",10228942,"K06219.01",376.91,-0.09103,-0.01162,-0.135846153846154,0.151124437781109
"FALSE POSITIVE",10341878,"K06220.01",22940.62,-3.368,3.488e-05,-3.44210526315789,1.38643504531722
"FALSE POSITIVE",10357831,"K06221.01",282.6,-0.07861,0,-0.0759660297239915,18.2756218905473
"FALSE POSITIVE",10385682,"K06223.01",764.06,0.001502,-0.004792,-0.299759036144578,0.163553223388306
"FALSE POSITIVE",10483644,"K06225.01",285.84,-0.07979,0.004569,-0.800446428571429,0.259011976047904
"FALSE POSITIVE",10601549,"K06226.01",738.57,0.04293,-0.0001221,0.000811381074168798,0.150929264909847
"FALSE POSITIVE",10614158,"K06227.01",2460.99,-0.2753,-0.0001908,-0.224356223175966,0.482937771345876
"CANDIDATE",10717220,"K06228.01",31.9,-0.01139,-0.0001304,-0.721383647798742,0.205664948453608
"FALSE POSITIVE",10728219,"K06229.01",421.19,0.8568,0,0,0.148727136431784
"CANDIDATE",10735988,"K06230.01",523,-0.06446,-0.001801,-0.0377764277035237,0.109629575402635
"FALSE POSITIVE",10973583,"K06232.01",168.49,-0.6532,0.0007499,-2.46654929577465,2.16040868454662
"CANDIDATE",10989274,"K06233.01",76.72,0.05784,0,0,8.14729064039409
"FALSE POSITIVE",11099351,"K06234.01",18312.46,-1.618,-0.0006349,-0.102269624573379,1.99911111111111
"FALSE POSITIVE",11147460,"K06235.01",9669.04,-0.7683,0.0008567,-0.0298516320474777,5.2989921612542
"FALSE POSITIVE",11252617,"K06236.01",521.86,-0.07296,0,-6.375,1.59585121602289
"FALSE POSITIVE",11252617,"K06236.02",1315.01,0.04336,0,-9.43789808917198,2.79553219448095
"FALSE POSITIVE",11516930,"K06240.01",246.75,0.1007,-0.0004554,13.5232558139535,38.7256198347107
"FALSE POSITIVE",11558882,"K06241.01",12.98,-0.08681,0.07096,-0.108583690987124,2.0271692745377
"FALSE POSITIVE",11673686,"K06243.01",1419.5,-0.04581,-0.02424,-15.4964028776978,0.0938050974512744
"FALSE POSITIVE",11724210,"K06244.01",279.08,-0.04365,-0.004082,0.13343347639485,0.448203592814371
"FALSE POSITIVE",11775507,"K06245.03",2.86,0.03703,-0.0001416,0.722784810126582,0.686889460154242
"CANDIDATE",11856178,"K06246.01",155.72,0.03479,5.171e-05,-1.20340264650284,1.45335
"FALSE POSITIVE",11867071,"K06247.01",881.68,-0.1771,-0.0001606,-0.03672760511883,0.310044910179641
"FALSE POSITIVE",11975363,"K06248.01",1122.48,-0.2123,0,0,5.91633372502938
"FALSE POSITIVE",12207117,"K06249.01",680.27,0.1421,-1.031e-05,-1.94559270516717,0.413519480519481
"CANDIDATE",12367464,"K06250.01",4603.03,-0.07559,-0.0002936,0.669404186795491,0.636137724550898
