"koi_disposition","kepid","kepoi_name","tce_ldm_coeff4","tce_prad","tce_steff","tce_fwm_prao"
"CANDIDATE",4249725,"K00222.02",-0.0126,1.799,4090,-7.528e-05
"CANDIDATE",4545187,"K00223.01",-0.3500704,2.873,5303,0.0001163
"CANDIDATE",4545187,"K00223.02",-0.3500704,2.432,5303,0.0004907
"FALSE POSITIVE",5547480,"K00224.01",-0.0505132,4.305,6032,0.004861
"FALSE POSITIVE",5801571,"K00225.01",0.0477664,6.93,6366,-0.000935
"CANDIDATE",5959753,"K00226.01",-0.5477354,3.011,5022,0.0003117
"CANDIDATE",3847907,"K00229.01",-0.3809652,6.285,5646,-0.0008899
"FALSE POSITIVE",3862246,"K00230.01",-0.409704,9.198,5408,0.003877
"FALSE POSITIVE",4043443,"K00231.01",-0.5249212,8.272,4602,-0.0008265
"CANDIDATE",4833421,"K00232.01",0.0358128,5.966,6038,0
"CANDIDATE",4833421,"K00232.02",0.0358128,2.517,6038,0
"CANDIDATE",4833421,"K00232.03",0.0358128,2.794,6038,0
"CANDIDATE",4833421,"K00232.04",0.0358128,2.281,6038,0
"CANDIDATE",4833421,"K00232.05",0.0358128,2.34,6038,0
"FALSE POSITIVE",5023956,"K00233.01",0.7252674,9.261,6190,0.06048
"CANDIDATE",8491277,"K00234.01",-0.0904432,3.504,5997,-0.0001339
"CANDIDATE",8107225,"K00235.01",-0.5200352,2.313,5216,-0.0005645
"FALSE POSITIVE",8453211,"K00236.01",-0.1671976,6.315,5544,0.02224
"CANDIDATE",8041216,"K00237.01",-0.2452276,3.108,5767,-0.00017
"CANDIDATE",7219825,"K00238.01",0.0627052,2.962,6086,-1.12e-05
"CANDIDATE",7219825,"K00238.02",0.0627052,2.445,6086,-0.0002463
"CANDIDATE",7219825,"K00238.03",0.0627052,1.506,6086,8.615e-05
"CANDIDATE",6383785,"K00239.01",-0.2638128,5.205,5794,-0.001668
"CANDIDATE",6383785,"K00239.02",-0.2638128,1.878,5794,-0.00037
"CANDIDATE",8026752,"K00240.01",0.0702268,3.656,6228,-0.0001599
"CANDIDATE",11288051,"K00241.01",-0.4977168,2.163,4983,0.0001222
"CANDIDATE",11288051,"K00241.02",-0.4977168,1.54,4983,-0.000423
"CANDIDATE",11288051,"K00241.03",-0.4977168,0.917,4983,0.0001142
"FALSE POSITIVE",3642741,"K00242.01",-0.37116,5.687,5638,0.001466
"FALSE POSITIVE",9592579,"K00243.01",-0.06571,12.79,6108,0.03197
"CANDIDATE",4349452,"K00244.01",0.111188,5,6267,-0.0008787
"CANDIDATE",4349452,"K00244.02",0.111188,2.944,6267,-0.0002248
"CANDIDATE",8478994,"K00245.01",-0.3462874,2.112,5437,-0.0008098
"CANDIDATE",8478994,"K00245.02",-0.3462874,0.8901,5437,-5.604e-05
"CANDIDATE",11295426,"K00246.01",-0.2296932,2.494,5790,-4.282e-05
"CANDIDATE",11295426,"K00246.02",-0.2296932,1.05,5790,5.118e-05
"CANDIDATE",11852982,"K00247.01",0.0318952,2.003,3732,0.0005753
"CANDIDATE",5364071,"K00248.01",0.0458672,2.604,3834,0.000292
"CANDIDATE",5364071,"K00248.02",0.0458672,1.771,3834,0.0003273
"CANDIDATE",5364071,"K00248.03",0.0458672,3.183,3834,-3.725e-06
"CANDIDATE",5364071,"K00248.04",0.0458672,1.687,3834,0.0001609
"CANDIDATE",9390653,"K00249.01",0.1343882,1.815,3547,0.0005224
"CANDIDATE",9757613,"K00250.01",0.0954896,3.154,3879,0.001444
"CANDIDATE",9757613,"K00250.02",0.0954896,2.915,3879,0.001046
"CANDIDATE",9757613,"K00250.03",0.0954896,2.26,3879,0.0003642
"CANDIDATE",9757613,"K00250.04",0.0954896,1.255,3879,0.000243
"CANDIDATE",10489206,"K00251.01",0.1007984,2.687,3808,-0.002341
"CANDIDATE",10489206,"K00251.02",0.1007984,0.9562,3808,-0.0003091
"CANDIDATE",11187837,"K00252.01",-0.0059526,2.711,3744,0.0001334
"CANDIDATE",11752906,"K00253.01",-0.282291,3.32,3757,0.0001267
"CANDIDATE",11752906,"K00253.02",-0.282291,2.201,3757,-0.000606
"CANDIDATE",5794240,"K00254.01",-0.2666562,11.03,3793,0.0003089
"CANDIDATE",7021681,"K00255.01",0.073332,2.549,3780,0.0003092
"CANDIDATE",7021681,"K00255.02",0.073332,0.7892,3780,0.0005235
"FALSE POSITIVE",7021681,"K00255.03",0.073332,0.6793,3780,-0.0001288
"FALSE POSITIVE",11548140,"K00256.01",-0.136808,2.026,3440,-0.0008784
"CANDIDATE",5514383,"K00257.01",-0.0924646,3.082,6139,0.0001405
"FALSE POSITIVE",11231334,"K00258.01",0.2950692,20.18,6529,-0.0007727
"FALSE POSITIVE",5790807,"K00259.01",0.2457896,40.86,6796,-0.00258
"CANDIDATE",8292840,"K00260.01",0.13542,2.565,6214,6.138e-05
"CANDIDATE",8292840,"K00260.02",0.13542,1.614,6214,1.493e-05
"CANDIDATE",8292840,"K00260.03",0.13542,1.788,6214,-4.144e-05
"CANDIDATE",5383248,"K00261.01",-0.311874,2.851,5683,-0.0001819
"CANDIDATE",11807274,"K00262.01",0.0976012,2.001,6237,-8.77e-06
"CANDIDATE",11807274,"K00262.02",0.0976012,2.057,6237,-3.192e-06
"FALSE POSITIVE",10514430,"K00263.01",-0.180714,1.464,5729,5.173e-05
"FALSE POSITIVE",3097346,"K00264.01",-0.113607,2.197,5929,-0.004655
"CANDIDATE",12024120,"K00265.01",-0.0890124,1.557,6007,4.349e-05
"CANDIDATE",7375348,"K00266.01",-0.1799252,1.851,5949,-1.537e-05
"CANDIDATE",7375348,"K00266.02",-0.1799252,1.793,5949,-0.0001124
"CANDIDATE",3425851,"K00268.01",0.1496,3.229,6342,0.000119
"CANDIDATE",7670943,"K00269.01",0.1412036,1.753,6477,0
"CANDIDATE",6528464,"K00270.01",-0.2569402,1.742,5587,-3.269e-05
"CANDIDATE",6528464,"K00270.02",-0.2569402,2.055,5587,-6.429e-05
"CANDIDATE",9451706,"K00271.01",-0.16085,2.736,6075,-0.0002136
"CANDIDATE",9451706,"K00271.02",-0.16085,2.813,6075,-0.000242
"CANDIDATE",9451706,"K00271.03",-0.16085,1.582,6075,-7.829e-05
"FALSE POSITIVE",5716763,"K00272.01",0.2725912,3.085,5918,2.496e-06
"CANDIDATE",3102384,"K00273.01",-0.39746,2.292,5720,9.328e-05
"CANDIDATE",8077137,"K00274.01",0.0575876,1.183,6063,7.527e-07
"CANDIDATE",8077137,"K00274.02",0.0575876,1.304,6063,-1.107e-05
"CANDIDATE",10586004,"K00275.01",-0.3369456,2.633,5758,-1.299e-05
"CANDIDATE",10586004,"K00275.02",-0.3369456,2.939,5758,-3.616e-05
"CANDIDATE",11133306,"K00276.01",-0.0863528,2.773,5978,0.0002025
"CANDIDATE",11401755,"K00277.01",0.008226,3.852,5919,-8.509e-06
"CANDIDATE",11401755,"K00277.02",0.008226,2.666,5919,-2.489e-05
